track_id,title,artist,album,image_url,preview_url,url,duration_ms,valence,energy,tempo,danceability,acousticness,key,mode
6FQQiTpYnfc5803p84bQp1,Vikram - Title Track,"Anirudh Ravichander, Vishnu Edavan",Vikram (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d0000b27320cc440a9ebe2dc83a327a60,,https://open.spotify.com/track/6FQQiTpYnfc5803p84bQp1,218823,0.9,0.8,120.0,0.5,0.5,0,1
2dpMdklbSc5CmZ3ijhknZ5,Wasted,Anirudh Ravichander,Vikram (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d0000b27320cc440a9ebe2dc83a327a60,,https://open.spotify.com/track/2dpMdklbSc5CmZ3ijhknZ5,182608,0.9,0.8,120.0,0.5,0.5,0,1
0BFQi3erN3X4tT6ZrthC5d,Chal Chalo Chalo,"Raghu Dixit, Sooraj Santhosh, Rita Thyagarajan",Son Of Satyamurthy,https://i.scdn.co/image/ab67616d0000b27371cc7c112a85908f0192aa70,,https://open.spotify.com/track/0BFQi3erN3X4tT6ZrthC5d,308601,0.9,0.8,120.0,0.5,0.5,0,1
45xajAqfrDhxpIOV2dBkYp,Ori Vaari,Santhosh Narayanan,"Ori Vaari (From ""Dasara"") - Telugu",https://i.scdn.co/image/ab67616d0000b273f8339590174bd2b8c14cd00d,,https://open.spotify.com/track/45xajAqfrDhxpIOV2dBkYp,214500,0.9,0.8,120.0,0.5,0.5,0,1
2Ej4vdkwwBDyE6QfFWaXUF,Oh Priya Priya,"Adnan Sami, Nithya Menen",Ishq,https://i.scdn.co/image/ab67616d0000b2732d748ba3399f16d3475519f4,,https://open.spotify.com/track/2Ej4vdkwwBDyE6QfFWaXUF,260000,0.9,0.8,120.0,0.5,0.5,0,1
1IfhPnZpm0IZOoAM1PDjtw,Kholo Kholo,Raman Mahadevan,Taare Zameen Par,https://i.scdn.co/image/ab67616d0000b2730f431c71dd2ac4dafc0c828f,,https://open.spotify.com/track/1IfhPnZpm0IZOoAM1PDjtw,311985,0.5,0.5,120.0,0.5,0.5,0,1
2IxBxluF6ZLOh8AC6NhVLJ,Ragile Jwaale,B. Ajaneesh Loknath,Virupaksha (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d0000b27322485a33e1906b521a8cc8e1,,https://open.spotify.com/track/2IxBxluF6ZLOh8AC6NhVLJ,288554,0.9,0.8,120.0,0.5,0.5,0,1
53kbIT31SWdatSt58WTbWY,Jilla Theme,"S.P. Abhishek, Rakenku Mouli",Jilla (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d0000b273f43364973d101a8df8bc1075,,https://open.spotify.com/track/53kbIT31SWdatSt58WTbWY,183893,0.9,0.8,120.0,0.5,0.5,0,1
1B02UI29t3PTh3m98absaP,"Naa Ready (From ""Leo"")","Anirudh Ravichander, Vijay, Asal Kolaar, Vishnu Edavan","Naa Ready (From ""Leo"")",https://i.scdn.co/image/ab67616d0000b2739c73417bcfb143afa1b7e0bd,,https://open.spotify.com/track/1B02UI29t3PTh3m98absaP,248181,0.9,0.8,120.0,0.5,0.5,0,1
4wUOdPcYoqYZGM2wSdoLQu,Nee Yadalo Naaku,"Yuvan Shankar Raja, Sagar Desai, Vennelakanti",Awaara (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d0000b2735f591ef17387dc503f8749ca,,https://open.spotify.com/track/4wUOdPcYoqYZGM2wSdoLQu,292826,0.9,0.8,120.0,0.5,0.5,0,1
6O1VWYPfl85dDeKiaCJKza,Chiru Chiru,"Yuvan Shankar Raja, Haricharan, Sagar Desai, Chandra Bose",Awaara (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d0000b2735f591ef17387dc503f8749ca,,https://open.spotify.com/track/6O1VWYPfl85dDeKiaCJKza,284466,0.9,0.8,120.0,0.5,0.5,0,1
2cDyQDAoP0cPQXzaviXu2f,Vellake,"Bharatt-Saurabh, Yazin Nizar, Anirudh Ravichander, Suresh Banisetti",Vellake,https://i.scdn.co/image/ab67616d0000b2734f9afc3c2b184669e6c7b9ce,,https://open.spotify.com/track/2cDyQDAoP0cPQXzaviXu2f,217776,0.9,0.8,120.0,0.5,0.5,0,1
,Gangstaa - MassTamilan.dev,"Shabir Sulthan, Ghibran - MassTamilan.dev",Thunivu - MassTamilan.dev,,,,200000,0.5,0.5,120.0,0.5,0.5,0,1
,Chilla Chilla - MassTamilan.dev,"Anirudh Ravichander, Vaisagh, Ghibran - MassTamilan.dev",Thunivu - MassTamilan.dev,,,,218000,0.5,0.5,120.0,0.5,0.5,0,1
4KwsXvFDCoW7l1cfxhjTdD,"Aradhya (From ""Kushi"") (Telugu)","Hesham Abdul Wahab, Chinmayi","Aradhya (From ""Kushi"") (Telugu)",https://i.scdn.co/image/ab67616d0000b27390081b3870910e47194b4226,,https://open.spotify.com/track/4KwsXvFDCoW7l1cfxhjTdD,282222,0.9,0.8,120.0,0.5,0.5,0,1
4Yfd09CmceFFJJOi9TjaiM,Simham Theme,Devi Sri Prasad,Yamudu,https://i.scdn.co/image/ab67616d0000b273a33c8fc106087d93fd346010,,https://open.spotify.com/track/4Yfd09CmceFFJJOi9TjaiM,273453,0.9,0.8,120.0,0.5,0.5,0,1
5RJb4ZBgdJBOZe5Fx2aDWo,Ela Ela Naalo,"Haricharan, Swetha",Panjaa,https://i.scdn.co/image/ab67616d0000b273cea64c408a084f910414cda4,,https://open.spotify.com/track/5RJb4ZBgdJBOZe5Fx2aDWo,305925,0.9,0.8,120.0,0.5,0.5,0,1
73J7OQXec56LNmPBrhzBr7,James Theme,"Sanjith Hegde, Adithi Sagar, Charanraj MR",James (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d0000b2734fcd6c05d0c950a417ec402c,,https://open.spotify.com/track/73J7OQXec56LNmPBrhzBr7,87777,0.9,0.8,120.0,0.5,0.5,0,1
5OMUXgfXsSukZ0zxelpC3b,"Raanjhanaa (From ""Raanjhanaa"")","A.R. Rahman, Jaswinder Singh, Shiraz Uppal",Raanjhanaa (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d0000b2730c556f210b927ca230f32241,,https://open.spotify.com/track/5OMUXgfXsSukZ0zxelpC3b,254100,0.9,0.8,120.0,0.5,0.5,0,1
3pDbPKZHrpHAWcJVMsrNwA,"Hukum - Thalaivar Alappara - Tamil (From ""Jailer"")","Anirudh Ravichander, Super Subu","Hukum - Thalaivar Alappara - Tamil (From ""Jailer"")",https://i.scdn.co/image/ab67616d0000b273915c0a9491052bebed419720,,https://open.spotify.com/track/3pDbPKZHrpHAWcJVMsrNwA,207647,0.9,0.8,120.0,0.5,0.5,0,1
